Especies,Parametro,Estimador,SE,Distancia,p,AICc
TORDO,(Intercept),17.02592886638774,NA,30,NA,12.449259760102136
TORTOLA,(Intercept),-0.6260187228420668,NA,30,NA,45.01875832136816
TORTOLA,Pastizales,14.684316016329827,NA,30,NA,45.01875832136816
ZORZAL,(Intercept),151.1059364832828,NA,30,NA,93.4698185913803
ZORZAL,Pastizales,-2.59552681249155,NA,30,NA,93.4698185913803
ZORZAL,Matorrales,-2.155219842471565,NA,30,NA,93.4698185913803
ZORZAL,Oceano,-1.5073975173826542,NA,30,NA,93.4698185913803
ZORZAL,Suelo_arenoso,-3.2352316081699386,NA,30,NA,93.4698185913803
ZORZAL,Grava,-31.796645185170636,NA,30,NA,93.4698185913803
BLANQUILLO,(Intercept),-2.202712518743098,NA,600,NA,65.17479276214793
